11,1
17,19
15,5
12,19
18,13
16,17
12,1
6,9
9,18
2,7
4,5
15,6
5,3
5,17
8,14
19,9
13,20
8,14
7,18
6,6
19,10
5,1
4,7
20,16
14,17
9,15
10,17
9,18
1,20
6,1
4,10
18,6
16,4
15,5
2,18
14,20
20,11
19,10
18,1
3,15
8,8
13,1
8,2
14,11
2,9
9,14
5,2
10,15
13,19
6,5
5,17
15,18
15,14
9,12
20,20
7,4
9,12
1,18
18,10
5,15
14,10
4,16
18,3
19,1
9,1
5,15
14,6
7,2
1,16
7,11
20,14
10,13
14,5
17,11
9,15
12,6
2,12
14,12
11,10
7,9
16,20
6,16
3,1
10,12
5,3
14,8
11,14
12,11
16,14
7,17
14,12
1,17
3,17
7,9
16,3
13,19
13,1
14,6
14,8
11,5
